district,population,Males,Females,pop_desnity,geometry,_merge
GARHWA,1322387,683984,638403,327,"POLYGON Z ((83.50411224365246 24.526332855224723 0, 83.51544189453125 24.52681922912609 0, 83.53781890869146 24.529590606689396 0, 83.58279418945312 24.52240943908697 0, 83.62512969970703 24.519384384155273 0, 83.6425170898438 24.52278709411621 0, 83.66490173339855 24.519510269165096 0, 83.69202423095697 24.516738891601562 0, 83.71886444091808 24.50993537902832 0, 83.73435974121088 24.51258087158203 0, 83.7498550415039 24.517873764038086 0, 83.76974487304693 24.526830673217773 0, 83.80508422851574 24.53741836547846 0, 83.83187103271484 24.540172576904354 0, 83.85387420654303 24.535850524902344 0, 83.8634719848634 24.537117004394474 0, 83.86406707763666 24.53684806823742 0, 83.8570556640625 24.525407791137695 0, 83.85398864746094 24.52032661437994 0, 83.84973907470714 24.509471893310604 0, 83.84883880615234 24.50263214111328 0, 83.84571075439464 24.4771347045899 0, 83.84592437744152 24.471292495727596 0, 83.84729766845703 24.458415985107536 0, 83.84274291992188 24.423027038574332 0, 83.84091949462896 24.409481048583984 0, 83.82967376708996 24.396104812622127 0, 83.81272125244152 24.38789367675787 0, 83.80545806884777 24.380336761474666 0, 83.80277252197271 24.36769104003912 0, 83.80737304687511 24.354118347168026 0, 83.81252288818371 24.34387016296381 0, 83.81800079345709 24.33194541931158 0, 83.81762695312506 24.326713562011832 0, 83.81712341308605 24.319700241088867 0, 83.81118774414074 24.302938461303768 0, 83.81118774414074 24.296586990356502 0, 83.82151031494152 24.27911758422863 0, 83.84374237060553 24.24814987182623 0, 83.85645294189453 24.230283737182674 0, 83.86478424072277 24.21162414550787 0, 83.87947845458996 24.20249366760254 0, 83.90409088134777 24.183435440063533 0, 83.91918182373041 24.16874504089367 0, 83.94458770751953 24.158025741577205 0, 83.97370910644543 24.15121841430664 0, 83.97793579101557 24.14587211608881 0, 83.98099517822266 24.13114738464367 0, 83.9812622070313 24.120958328247184 0, 83.9808578491211 24.108661651611328 0, 83.97595977783209 24.101156234741268 0, 83.96145629882818 24.109361648559513 0, 83.95558929443371 24.107761383056697 0, 83.94095611572266 24.09846687316906 0, 83.92993927001959 24.09607887268072 0, 83.91426086425781 24.095188140869197 0, 83.88931274414068 24.086427688598746 0, 83.88067626953125 24.07955360412609 0, 83.85043334960943 24.040891647338924 0, 83.84095764160168 24.03265380859375 0, 83.83353424072277 24.022430419921932 0, 83.8332977294923 24.011014938354606 0, 83.83856964111328 23.99936866760254 0, 83.83901977539074 23.994291305541992 0, 83.8370971679688 23.987062454223746 0, 83.83503723144543 23.983963012695426 0, 83.82835388183605 23.975950241088867 0, 83.82528686523449 23.970592498779297 0, 83.82530975341808 23.968013763427848 0, 83.8350296020509 23.961229324340877 0, 83.84808349609375 23.962007522583065 0, 83.85458374023438 23.969114303588867 0, 83.86013793945318 23.974880218505973 0, 83.87643432617199 23.99141502380371 0, 83.88319396972656 23.996217727661246 0, 83.88700103759766 23.996213912963867 0, 83.89158630371094 23.99195289611822 0, 83.89579772949224 23.985305786132926 0, 83.89836883544933 23.974094390869197 0, 83.90122985839855 23.965915679931754 0, 83.90717315673822 23.956920623779354 0, 83.9188232421875 23.949235916137752 0, 83.92989349365234 23.942613601684684 0, 83.93476867675793 23.938251495361385 0, 83.93515777587902 23.934465408325195 0, 83.9179306030274 23.915008544921875 0, 83.91880798339838 23.904300689697322 0, 83.9295425415039 23.894630432128963 0, 83.93440246582043 23.883268356323242 0, 83.9416885375976 23.872577667236328 0, 83.95144653320312 23.867351531982365 0, 83.96313476562506 23.86631393432623 0, 83.97488403320307 23.860757827758846 0, 83.97940826416027 23.85133743286127 0, 83.98168182373053 23.837459564208984 0, 83.98737335205084 23.82717895507824 0, 83.9976654052735 23.816778182983455 0, 84.00897216796886 23.81316566467285 0, 84.02022552490246 23.814527511596793 0, 84.02272033691418 23.81427764892578 0, 84.02551269531256 23.810520172119084 0, 84.02511596679693 23.807399749755916 0, 84.02588653564459 23.80323410034191 0, 84.02265167236334 23.79897117614746 0, 84.01190185546875 23.784807205200252 0, 84.00585174560553 23.773727416992244 0, 83.99665069580078 23.751399993896428 0, 83.99004364013678 23.741531372070426 0, 83.98703002929699 23.734516143798885 0, 83.98747253417963 23.72953033447277 0, 83.99681091308588 23.720811843872184 0, 84.00990295410162 23.720376968383846 0, 84.03816986083996 23.705907821655273 0, 84.05212402343744 23.69135093688959 0, 84.0551223754884 23.684823989868164 0, 84.05480194091791 23.681146621704045 0, 84.0498428344726 23.669672012329215 0, 84.0259475708009 23.64727210998535 0, 84.01167297363293 23.63834381103527 0, 84.00749969482416 23.634712219238395 0, 84.00684356689459 23.63414001464855 0, 84.0061492919923 23.633514404296932 0, 83.99799346923828 23.633930206298828 0, 83.98078918457026 23.631687164306697 0, 83.96802520751953 23.62705421447754 0, 83.95394897460938 23.625169754028377 0, 83.94451904296886 23.623510360717773 0, 83.94322967529297 23.623281478881836 0, 83.9368515014649 23.61225700378418 0, 83.9349212646485 23.594562530517692 0, 83.94032287597668 23.565473556518498 0, 83.94060516357422 23.5639705657959 0, 83.92781066894531 23.565967559814567 0, 83.92002105712896 23.569646835327262 0, 83.91061401367188 23.57040786743164 0, 83.90383148193365 23.572052001953125 0, 83.89543151855474 23.57679557800293 0, 83.88827514648449 23.57364273071289 0, 83.86496734619152 23.57917785644537 0, 83.85153198242188 23.581754684448242 0, 83.843002319336 23.582180023193473 0, 83.82660675048834 23.5856552124024 0, 83.8170776367188 23.589336395263672 0, 83.8162689208985 23.58964729309082 0, 83.81262969970703 23.58441734313965 0, 83.81172180175787 23.583106994628906 0, 83.80586242675793 23.583967208862248 0, 83.80311584472662 23.59086990356451 0, 83.7915496826173 23.59893417358404 0, 83.78030395507824 23.60024452209484 0, 83.77319335937506 23.609806060791072 0, 83.77115631103527 23.618253707885856 0, 83.77037048339855 23.622186660766715 0, 83.7532196044923 23.627328872680778 0, 83.74846649169933 23.641122817993164 0, 83.75006866455078 23.646308898925838 0, 83.75177764892578 23.647071838378963 0, 83.7575302124024 23.64963912963873 0, 83.75744628906244 23.64995765686041 0, 83.75637817382818 23.653980255126953 0, 83.74948120117188 23.659769058227653 0, 83.73436737060541 23.66800880432129 0, 83.72679138183594 23.67432785034174 0, 83.72019195556652 23.683115005493164 0, 83.7205429077149 23.690799713134766 0, 83.72237396240234 23.691751480102596 0, 83.72804260253918 23.694704055786076 0, 83.72825622558588 23.695035934448242 0, 83.72977447509777 23.69734382629406 0, 83.7376098632812 23.705230712890682 0, 83.74018096923834 23.714097976684684 0, 83.73794555664074 23.72452163696289 0, 83.7348251342774 23.732345581054744 0, 83.73548889160168 23.744180679321346 0, 83.73488616943371 23.755212783813477 0, 83.73259735107433 23.760375976562557 0, 83.71786499023443 23.77278137207037 0, 83.718017578125 23.781269073486385 0, 83.71630859375 23.789955139160213 0, 83.71326446533209 23.795356750488224 0, 83.7054214477539 23.802028656005916 0, 83.70112609863293 23.80797195434576 0, 83.70411682128912 23.816833496093807 0, 83.70090484619146 23.82103157043457 0, 83.6940307617188 23.824285507202262 0, 83.68771362304693 23.826095581054688 0, 83.68754577636724 23.826143264770508 0, 83.68446350097662 23.823890686035213 0, 83.68326568603516 23.823013305664006 0, 83.677734375 23.82042121887207 0, 83.67205047607422 23.82625770568859 0, 83.66387176513678 23.828142166137752 0, 83.6608276367188 23.832326889038086 0, 83.6631469726563 23.837276458740234 0, 83.6618041992188 23.843940734863395 0, 83.65510559082037 23.84834861755371 0, 83.64346313476568 23.847314834594727 0, 83.63555145263683 23.847629547119197 0, 83.61706542968744 23.853609085083008 0, 83.6061477661134 23.85372352600109 0, 83.59603118896496 23.85671997070324 0, 83.58676147460938 23.862131118774528 0, 83.57736206054699 23.86326980590826 0, 83.56681823730474 23.863147735595817 0, 83.56321716308605 23.869712829589957 0, 83.56510162353521 23.870805740356445 0, 83.56930541992193 23.87324142456066 0, 83.57862091064459 23.87725257873535 0, 83.5788192749024 23.877725601196346 0, 83.58176422119152 23.884559631347713 0, 83.5757675170899 23.89052391052246 0, 83.56611633300793 23.892812728881836 0, 83.5549926757813 23.89298248291027 0, 83.54847717285162 23.89837265014654 0, 83.542953491211 23.91472816467291 0, 83.54457855224604 23.933580398559627 0, 83.53939056396496 23.94179916381836 0, 83.5282592773438 23.952205657959098 0, 83.51810455322266 23.96701240539562 0, 83.51340484619146 23.979444503784237 0, 83.51221466064453 23.99130821228033 0, 83.51320648193365 24.001346588134822 0, 83.52222442626964 24.010576248168945 0, 83.52050781250011 24.015701293945312 0, 83.5153198242188 24.02533149719244 0, 83.51240539550781 24.0281600952149 0, 83.50692749023443 24.030599594116268 0, 83.48464965820324 24.03843116760254 0, 83.47412872314459 24.040540695190543 0, 83.46385192871105 24.04178047180187 0, 83.45879364013672 24.041275024414062 0, 83.45331573486334 24.04233169555664 0, 83.43897247314453 24.05451011657709 0, 83.43704986572266 24.057743072509766 0, 83.43495178222656 24.061832427978572 0, 83.43634796142584 24.068855285644645 0, 83.43587493896484 24.07380485534668 0, 83.434341430664 24.079557418823242 0, 83.43112182617188 24.083536148071346 0, 83.4271240234375 24.083555221557617 0, 83.4204330444336 24.0809841156007 0, 83.41470336914062 24.08024406433117 0, 83.4088363647461 24.080547332763786 0, 83.40647125244152 24.0815372467041 0, 83.39817047119146 24.09467697143566 0, 83.3890228271485 24.099596023559684 0, 83.36775970458996 24.101655960083065 0, 83.36302185058594 24.101387023925838 0, 83.35152435302746 24.096744537353572 0, 83.33338928222668 24.099325180053825 0, 83.32934570312506 24.10099983215332 0, 83.33127593994146 24.102138519287223 0, 83.34483337402355 24.11011886596691 0, 83.3485946655274 24.11390876770031 0, 83.34935760498053 24.118448257446346 0, 83.35481262207031 24.126091003417912 0, 83.35572814941418 24.136737823486328 0, 83.3582992553711 24.13995552062994 0, 83.36187744140625 24.14736175537115 0, 83.36315917968761 24.156459808349723 0, 83.37139129638666 24.171569824218807 0, 83.3751678466798 24.18019104003912 0, 83.37631988525402 24.18634986877447 0, 83.38417816162104 24.200368881225643 0, 83.38406372070318 24.20485496520996 0, 83.3820266723634 24.209697723388786 0, 83.38185882568371 24.21343612670904 0, 83.38423156738281 24.21642875671398 0, 83.38512420654291 24.219760894775447 0, 83.38272857666021 24.230474472045955 0, 83.38318634033214 24.23519325256359 0, 83.38670349121094 24.239553451538086 0, 83.39695739746088 24.244186401367188 0, 83.3992691040039 24.246658325195312 0, 83.39923095703136 24.25218582153326 0, 83.40772247314459 24.265512466430778 0, 83.4087600708009 24.275632858276367 0, 83.40636444091797 24.28473472595209 0, 83.40202331542974 24.292867660522518 0, 83.39635467529308 24.29598617553711 0, 83.39242553710938 24.29703330993658 0, 83.38769531250006 24.299343109130973 0, 83.3864974975586 24.299924850463924 0, 83.38614654541016 24.30424499511713 0, 83.38148498535168 24.312887191772518 0, 83.38180541992193 24.31398200988781 0, 83.38449096679693 24.314950942993278 0, 83.39118957519543 24.319770812988338 0, 83.39727783203136 24.326198577880916 0, 83.40919494628906 24.336816787719783 0, 83.41277313232433 24.338413238525447 0, 83.4170761108399 24.338979721069393 0, 83.42938995361328 24.33814048767084 0, 83.43245697021484 24.33939933776861 0, 83.43590545654297 24.344394683837834 0, 83.44017791748053 24.346916198730582 0, 83.44692230224604 24.360305786132756 0, 83.45155334472656 24.362701416015682 0, 83.45724487304688 24.364185333252067 0, 83.45732116699224 24.366432189941406 0, 83.45352172851568 24.367876052856502 0, 83.44909667968756 24.372209548950195 0, 83.44867706298828 24.377046585083065 0, 83.44563293457031 24.379524230957145 0, 83.44585418701178 24.386373519897575 0, 83.44473266601568 24.388389587402344 0, 83.44061279296886 24.39001274108881 0, 83.43881988525396 24.393417358398494 0, 83.43638610839855 24.395383834838867 0, 83.43579101562506 24.40315246582037 0, 83.43212127685553 24.405405044555664 0, 83.42243957519537 24.408828735351562 0, 83.41786956787115 24.409587860107536 0, 83.4060516357423 24.40801239013672 0, 83.40487670898443 24.411411285400447 0, 83.4066009521485 24.436441421508903 0, 83.39840698242193 24.435714721679688 0, 83.39572143554693 24.436870574951286 0, 83.38735198974615 24.454910278320256 0, 83.39019012451178 24.460659027099666 0, 83.39307403564459 24.463819503784293 0, 83.39414978027344 24.467380523681754 0, 83.39410400390625 24.4725017547608 0, 83.39852142333984 24.479515075683537 0, 83.39941406250011 24.48399925231945 0, 83.39955902099615 24.48814201354986 0, 83.39756774902344 24.49206352233881 0, 83.39808654785168 24.496322631835938 0, 83.39897918701178 24.500400543212834 0, 83.4014282226563 24.502985000610465 0, 83.40594482421875 24.50527381896984 0, 83.43232727050787 24.51199913024908 0, 83.4415893554687 24.512834548950252 0, 83.45906066894537 24.516351699829215 0, 83.46782684326178 24.51712608337408 0, 83.48731994628918 24.523172378540096 0, 83.49264526367199 24.52360916137701 0, 83.50411224365246 24.526332855224723 0))",both
CHATRA,1042304,534209,508095,275,"POLYGON Z ((84.46731567382824 24.3178653717041 0, 84.47444915771484 24.31866264343273 0, 84.48008728027355 24.317668914795036 0, 84.48307037353521 24.316394805908203 0, 84.48666381835938 24.31869506835949 0, 84.4966049194336 24.330175399780273 0, 84.50275421142584 24.334531784057617 0, 84.50615692138678 24.332855224609318 0, 84.50695037841803 24.328144073486442 0, 84.5043411254884 24.32441139221197 0, 84.5011138916015 24.32153892517084 0, 84.49198913574219 24.317764282226676 0, 84.48796081542963 24.31530380249029 0, 84.48584747314464 24.312715530395508 0, 84.48441314697271 24.309616088867188 0, 84.48390960693371 24.30323219299322 0, 84.48067474365246 24.30289840698248 0, 84.4737396240235 24.305604934692496 0, 84.470458984375 24.308715820312557 0, 84.46731567382824 24.3178653717041 0))",both
